,Entity,Code,Year,Breast,Cervix,Colon,Leukaemia,Liver,Lung,Ovary,Prostate,Rectum,Stomach,Avg_survival_per_year,Avg_surv_per_country
129,South Korea,KOR,2009.0,82.7,77.1,66.0,23.4,20.1,18.5,44.2,82.2,65.9,57.9,,47.89999999999999
130,Spain,ESP,1999.0,77.8,61.7,52.0,48.5,10.2,10.2,35.3,73.7,49.0,25.1,,47.46333333333333
131,Spain,ESP,2004.0,82.2,63.4,56.1,50.7,14.3,11.5,38.1,84.6,55.2,25.3,,47.46333333333333
132,Spain,ESP,2009.0,83.7,65.2,59.3,52.0,15.8,12.6,38.4,87.1,57.6,27.3,,47.46333333333333
133,Sweden,SWE,1999.0,83.8,65.0,55.4,48.5,5.3,12.2,40.8,75.4,57.9,21.2,,49.39999999999999
134,Sweden,SWE,2004.0,85.6,66.6,59.4,55.0,6.8,13.3,42.8,86.1,59.6,21.0,,49.39999999999999
135,Sweden,SWE,2009.0,86.2,67.8,62.5,59.2,11.1,15.6,43.5,89.2,62.0,23.2,,49.39999999999999
136,Switzerland,CHE,1999.0,78.7,63.5,54.5,51.7,9.0,13.0,35.0,76.0,53.8,23.6,,49.376666666666665
137,Switzerland,CHE,2004.0,84.0,63.8,61.4,56.0,11.8,14.5,35.7,85.9,58.9,28.2,,49.376666666666665
138,Switzerland,CHE,2009.0,85.5,65.4,63.3,58.1,13.6,16.5,37.7,88.0,63.8,30.4,,49.376666666666665
139,Taiwan,TWN,1999.0,77.2,75.4,56.2,24.3,17.1,13.3,44.2,69.7,56.2,36.1,,48.17666666666666
140,Taiwan,TWN,2004.0,80.7,74.5,57.1,22.3,19.5,11.6,44.3,76.0,58.1,35.8,,48.17666666666666
141,Taiwan,TWN,2009.0,82.4,74.0,59.5,22.9,22.2,14.3,45.6,77.9,60.5,36.4,,48.17666666666666
142,Thailand,THA,1999.0,65.9,55.0,43.7,9.7,15.6,31.9,55.7,51.3,34.9,18.5,,38.410000000000004
143,Thailand,THA,2004.0,72.9,57.7,52.2,28.7,10.5,14.2,47.3,64.7,35.7,15.3,,38.410000000000004
144,Thailand,THA,2009.0,71.3,55.9,50.4,21.1,7.8,13.5,41.1,57.7,39.7,12.4,,38.410000000000004
148,Turkey,TUR,1999.0,72.8,59.2,54.3,31.5,11.8,19.2,40.7,77.4,47.5,32.5,,44.45333333333333
149,Turkey,TUR,2004.0,81.5,63.4,50.4,36.4,19.2,11.0,46.0,80.2,46.8,20.0,,44.45333333333333
150,Turkey,TUR,2009.0,78.6,60.9,52.9,33.1,14.2,10.1,39.0,80.6,45.3,17.1,,44.45333333333333
151,United Kingdom,GBR,1999.0,74.2,58.0,48.1,42.0,6.7,7.3,32.6,68.4,49.1,14.5,,43.1
152,United Kingdom,GBR,2004.0,78.7,59.1,51.4,44.5,8.1,8.5,34.7,80.5,53.9,16.5,,43.1
153,United Kingdom,GBR,2009.0,81.1,60.2,53.8,47.0,9.3,9.6,36.9,83.2,56.6,18.5,,43.1
154,United States,USA,1999.0,86.0,64.2,60.5,44.5,8.5,15.2,38.9,93.2,60.0,22.1,,51.45
155,United States,USA,2004.0,87.9,63.6,63.7,48.8,11.9,16.6,39.6,96.4,63.1,25.8,,51.45
156,United States,USA,2009.0,88.6,62.8,64.7,51.8,15.2,18.7,40.9,97.2,64.0,29.1,,51.45
157,Uruguay,URY,2004.0,,,56.5,,,12.5,,,53.0,,,38.983333333333334
158,Uruguay,URY,2009.0,,,53.4,,,9.1,,,49.4,,,38.983333333333334
