,location_name,year,Average,cause_name,metric_name,val_y,upper,lower
5817,Algeria,1993,229.52022692381553,Malignant skin melanoma,Number,18.873643292114533,28.40831896771694,11.65997369859532
5818,Lebanon,1996,76.88933840635886,Non-Hodgkin lymphoma,Number,44.23609070297585,62.60997704142594,30.10157213548541
5819,Lebanon,1996,76.88933840635886,Multiple myeloma,Number,42.65629912782131,63.53681889922467,27.903460186640025
5820,Lebanon,1996,76.88933840635886,Leukemia,Number,140.01606003463093,194.66421232778572,97.1746018787706
5821,Jordan,1996,42.20433660331919,Other neoplasms,Number,9.576538751880328,14.814726754254808,5.774374561603318
5822,Bahrain,1996,5.7784482500083065,Other malignant neoplasms,Number,11.491083314436,15.83182995154464,7.886351581416015
5823,Palestine,1995,24.7896645976006,Stomach cancer,Number,24.042307078345512,33.63920787082407,16.55243208292331
5824,Palestine,1995,24.7896645976006,Liver cancer,Number,17.455793960578443,25.403367433836923,11.411907558912242
5825,Algeria,1995,244.85376661716322,Other malignant neoplasms,Number,701.8815517964566,998.0859018571932,461.20945914057376
5826,Lebanon,1996,76.88933840635886,Other malignant neoplasms,Number,133.83136762224044,182.07750615579585,91.06700061831216
5827,Lebanon,1996,76.88933840635886,Other neoplasms,Number,24.24410896244609,37.0586848879616,14.71040702793108
5828,Lebanon,1993,67.44176357669788,Bladder cancer,Number,213.7106867248945,293.1175063690766,148.74644425611098
5829,Lebanon,1993,67.44176357669788,Brain and central nervous system cancer,Number,43.40278667130909,61.11388360934049,28.32515043579051
5830,Lebanon,1993,67.44176357669788,Thyroid cancer,Number,49.13827822556894,71.53450632624109,30.557930080702626
5831,Lebanon,1993,67.44176357669788,Mesothelioma,Number,0.6051987491553993,1.196580946790488,0.3194303685789081
5832,Lebanon,1993,67.44176357669788,Hodgkin lymphoma,Number,33.46893871225086,47.64548956574911,21.362811815050662
5833,Bahrain,1995,5.447185149713752,Esophageal cancer,Number,1.9386520182432476,2.6705741041517865,1.0760382917935256
5834,Bahrain,1995,5.447185149713752,Stomach cancer,Number,5.391628484027736,7.387905834117716,3.6953804785284143
5835,Bahrain,1995,5.447185149713752,Liver cancer,Number,3.033396998574152,4.264689264641977,2.050814514323644
5836,Libya,1993,41.02686829464522,Other neoplasms,Number,24.73361186041168,37.66695122177075,14.86927756708788
5837,Syrian Arab Republic,1996,126.82845377113829,"Tracheal, bronchus, and lung cancer",Number,162.40736268496445,227.3386131553996,106.25291587263696
5838,Syrian Arab Republic,1996,126.82845377113829,Breast cancer,Number,406.92850552044325,591.7756304296902,262.44851621615214
5839,Syrian Arab Republic,1996,126.82845377113829,Cervical cancer,Number,62.6705926898068,96.08224336216998,37.24690023280603
5840,Algeria,1995,244.85376661716322,Other pharynx cancer,Number,26.80352843340553,38.23097655127041,16.954829105492173
5841,Algeria,1995,244.85376661716322,Gallbladder and biliary tract cancer,Number,133.3899701917,194.16851151840132,84.26665655502327
5842,Algeria,1995,244.85376661716322,Pancreatic cancer,Number,67.72521623532043,97.35771973555934,44.15246347638298
5843,Algeria,1995,244.85376661716322,Malignant skin melanoma,Number,21.103365929580427,31.229569895231528,12.948129169219168
5844,Algeria,1995,244.85376661716322,Non-melanoma skin cancer,Number,5.47377809745267,8.057357497648198,3.54197602003582
5845,Algeria,1995,244.85376661716322,Ovarian cancer,Number,133.97391346258502,192.59069884874089,85.51176336339363
5846,Algeria,1995,244.85376661716322,Testicular cancer,Number,41.471218333682174,94.92571687028708,15.059693172817246
5847,Algeria,1995,244.85376661716322,Kidney cancer,Number,105.4624125604516,152.6941237506126,68.77406399570806
5848,Algeria,1995,244.85376661716322,Bladder cancer,Number,238.8084627164717,343.04852269679606,152.1558536436318
5849,Algeria,1995,244.85376661716322,Brain and central nervous system cancer,Number,150.96349754937015,216.7540922630369,89.26605320920369
5850,Algeria,1995,244.85376661716322,Thyroid cancer,Number,241.9947528222688,374.1964284866114,141.79389299448846
5851,Algeria,1995,244.85376661716322,Mesothelioma,Number,3.47660655599916,7.393032753205412,1.5606012725776537
5852,Algeria,1995,244.85376661716322,Hodgkin lymphoma,Number,144.8768362240957,219.5244069496736,82.63328688604878
5853,Algeria,1995,244.85376661716322,Non-Hodgkin lymphoma,Number,392.1895419503145,599.2865141163832,232.09839673793735
5854,Algeria,1995,244.85376661716322,Multiple myeloma,Number,77.82446004977913,117.21810386407942,50.12214999801421
5855,Algeria,1995,244.85376661716322,Leukemia,Number,506.8011365953119,720.0487703047271,326.2180066297589
5856,Somalia,1991,49.13419378415468,Pancreatic cancer,Number,9.671664532170226,16.016858837386465,5.198225008113294
5857,Somalia,1991,49.13419378415468,Malignant skin melanoma,Number,7.440199291217752,13.607430467327474,3.6447724613633694
5858,Somalia,1991,49.13419378415468,Non-melanoma skin cancer,Number,0.4701176120944719,0.7263396535696286,0.2935223077851869
5859,Somalia,1991,49.13419378415468,Ovarian cancer,Number,26.351837703810972,58.44331814594624,12.422587443973237
5860,Somalia,1991,49.13419378415468,Testicular cancer,Number,2.352571564158082,6.954748323741483,0.8838775774558043
5861,Somalia,1991,49.13419378415468,Kidney cancer,Number,9.615580914608849,16.36420734408424,5.0847556901332895
5862,Somalia,1991,49.13419378415468,Bladder cancer,Number,21.38200231010566,35.70875844149146,12.629775421629898
5863,Somalia,1991,49.13419378415468,Brain and central nervous system cancer,Number,20.050385972892304,39.95162581165817,10.637449062841927
5864,Somalia,1991,49.13419378415468,Thyroid cancer,Number,15.910979656353351,25.553545868619093,8.959910521702668
